without PGN:
Epoch 1/12 | train Loss: 0.4743 Acc: 0.9166
Epoch 1/12 | val Loss: 0.0856 Acc: 0.9810
Epoch 2/12 | train Loss: 0.0883 Acc: 0.9840
Epoch 2/12 | val Loss: 0.0647 Acc: 0.9819
Epoch 3/12 | train Loss: 0.0857 Acc: 0.9840
Epoch 3/12 | val Loss: 0.1971 Acc: 0.9577
Epoch 4/12 | train Loss: 0.0542 Acc: 0.9869
Epoch 4/12 | val Loss: 0.0558 Acc: 0.9856
Epoch 5/12 | train Loss: 0.0211 Acc: 0.9922
Epoch 5/12 | val Loss: 0.0329 Acc: 0.9914
Epoch 6/12 | train Loss: 0.0910 Acc: 0.9842
Epoch 6/12 | val Loss: 0.0270 Acc: 0.9933
Epoch 7/12 | train Loss: 0.0274 Acc: 0.9905
Epoch 7/12 | val Loss: 0.0459 Acc: 0.9884
Epoch 8/12 | train Loss: 0.0488 Acc: 0.9893
Epoch 8/12 | val Loss: 0.0316 Acc: 0.9920
Epoch 9/12 | train Loss: 0.0261 Acc: 0.9905
Epoch 9/12 | val Loss: 0.0251 Acc: 0.9942
Epoch 10/12 | train Loss: 0.0234 Acc: 0.9935
Epoch 10/12 | val Loss: 0.0326 Acc: 0.9911
Epoch 11/12 | train Loss: 0.0359 Acc: 0.9883
Epoch 11/12 | val Loss: 0.0238 Acc: 0.9920
Epoch 12/12 | train Loss: 0.0427 Acc: 0.9902
Epoch 12/12 | val Loss: 0.0282 Acc: 0.9933
Training Complete. Model saved as chess_model.pth
Figure(1200x500)

with PGN:
Epoch 1/12 | train Loss: 0.4585 Acc: 0.7404
Epoch 1/12 | val Loss: 0.1032 Acc: 0.9737
Epoch 2/12 | train Loss: 0.1964 Acc: 0.8505
Epoch 2/12 | val Loss: 0.0949 Acc: 0.9697
Epoch 3/12 | train Loss: 0.1457 Acc: 0.8795
Epoch 3/12 | val Loss: 0.0432 Acc: 0.9865
Epoch 4/12 | train Loss: 0.1231 Acc: 0.8920
Epoch 4/12 | val Loss: 0.1053 Acc: 0.9761
Epoch 5/12 | train Loss: 0.1078 Acc: 0.9038
Epoch 5/12 | val Loss: 0.0475 Acc: 0.9884
Epoch 6/12 | train Loss: 0.0913 Acc: 0.9128
Epoch 6/12 | val Loss: 0.0632 Acc: 0.9792
Epoch 7/12 | train Loss: 0.0836 Acc: 0.9188
Epoch 7/12 | val Loss: 0.0401 Acc: 0.9865
Epoch 8/12 | train Loss: 0.0771 Acc: 0.9231
Epoch 8/12 | val Loss: 0.0560 Acc: 0.9828
Epoch 9/12 | train Loss: 0.0713 Acc: 0.9271
Epoch 9/12 | val Loss: 0.0288 Acc: 0.9923
Epoch 10/12 | train Loss: 0.0688 Acc: 0.9332
Epoch 10/12 | val Loss: 0.0357 Acc: 0.9893
Epoch 11/12 | train Loss: 0.0622 Acc: 0.9357
Epoch 11/12 | val Loss: 0.0301 Acc: 0.9926
Epoch 12/12 | train Loss: 0.0594 Acc: 0.9378
Epoch 12/12 | val Loss: 0.0325 Acc: 0.9933


